"","Restaurant","Cuisine","Address"
"203","Amber Sushi (28th St)","Japanese, Sushi, Noodles, Seafood, Soups, Salads, Asian, Healthy, Lunch Specials","381 3rd Ave New York, NY, 10016"
"204","Murray's Sturgeon Shop","Deli Food, Seafood","2429 Broadway New York, NY, 10024"
"205","Telio","Greek, Pizza, Sandwiches, Seafood, Soups, Salads, Healthy","2479 Broadway Ave 10025 New York, NY, 10025"
"207","Tulip Indian Restaurant","Indian, Seafood, Chicken, Desserts, Vegetarian, Healthy, Kids Menu, Lunch Specials","304 E 78th St New York, NY, 10075"
"208","East Bay Diner","Sandwiches, Seafood, Soups, American, Desserts, Wraps, Salads, Breakfast, Healthy","491 1st Ave New York, NY, 10016"
"209","Asian Diet Food - John St.","Chinese, Japanese, Sushi, Noodles, Seafood, Soups, Wings, Chicken, Salads, Vegetarian, Asian, Healthy, Low Fat, Lunch Specials","70 John St New York, NY, 10038"
"210","Asian Diet Food - Broadway","Chinese, Japanese, Sushi, Noodles, Seafood, Soups, Wings, Chicken, Salads, Vegetarian, Asian, Healthy, Low Carb, Low Fat, Lunch Specials, Szechwan","325 Broadway New York, NY, 10007"
"211","Wai Cafe","Sandwiches, Seafood, American, Chicken, Pasta, Salads","201 1st Ave New York, NY, 10003"
"212","The Kitchen Sink","Burgers, Sandwiches, Seafood, Steak, American, Pasta, Salads, Breakfast, Healthy","88 2nd Ave New York, NY, 10003"
"213","Meltemi","Seafood, American","1083 1st Ave New York, NY, 10022"
"214","Pisacane Fish & Seafood","Seafood, American","940 1st Ave New York, NY, 10022"
"215","Babalu","Cuban, Peruvian, Seafood, American","327 W 44th St New York, NY, 10036"
"216","Joon's Westside Fish","Seafood, American","774 Amsterdam Ave New York, NY, 10025"
"217","Morton's The Steakhouse","Seafood, Steak, American, Fine Dining","90 West St New York, NY, 10006"
"218","Crown Fried Chicken","Burgers, Seafood, Chicken","3633 Broadway New York, NY, 10031"
"219","El Puerto Seafood & Fish Market","Seafood, American","511 W 125th St New York, NY, 10027"
"220","Caridad","Puerto Rican, Seafood, Latin American","4799 Broadway New York, NY, 10034"
"221","Albert's Mofongo","Puerto Rican, Seafood, Caribbean, Salads, Healthy","4762 Broadway Ave New York, NY, 10034"
"222","Hua Du","Chinese, Seafood","31 Division St New York, NY, 10002"
"223","Lok Sing Seafood Restaurant","Seafood, American","290 Grand St New York, NY, 10002"
"225","Mare Seafood","Seafood, American","198 E 8th St New York, NY, 10003"
"227","Union Pacific","Seafood, American","115 E 23rd St New York, NY, 10010"
"228","Dardanel","Mediterranean, Turkish, Sandwiches, Seafood, Salads, Healthy, Lunch Specials","1071 1st Ave New York, NY, 10022"
